Step,Reward,Action,Link_Cost,Decision_Type
344,-100.00,49,1.00,RL
345,-100.00,49,1.00,RL
346,-100.00,49,1.00,RL
347,-100.00,49,1.00,RL
348,-100.00,49,1.00,RL
349,-100.00,49,1.00,RL
350,-100.00,49,1.00,RL
351,-100.00,49,1.00,RL
352,-100.00,49,1.00,RL
353,-100.00,49,1.00,RL
354,-100.00,49,1.00,RL
355,-100.00,49,1.00,RL
356,-100.00,49,1.00,RL
357,-100.00,49,1.00,RL
358,-100.00,49,1.00,RL
359,-100.00,49,1.00,RL
360,-100.00,49,1.00,RL
361,-100.00,49,1.00,RL
362,-100.00,49,1.00,RL
363,-100.00,49,1.00,RL
364,-100.00,49,1.00,RL
365,-100.00,49,1.00,RL
366,-100.00,49,1.00,RL
367,-100.00,49,1.00,RL
368,-100.00,49,1.00,RL
369,-100.00,49,1.00,RL
370,-100.00,49,1.00,RL
371,-100.00,49,1.00,RL
372,-100.00,49,1.00,RL
373,-100.00,49,1.00,RL
374,-100.00,49,1.00,RL
375,-100.00,49,1.00,RL
376,-100.00,49,1.00,RL
377,-100.00,49,1.00,RL
378,-100.00,49,1.00,RL
379,-100.00,49,1.00,RL
380,-100.00,49,1.00,RL
381,-100.00,49,1.00,RL
382,-100.00,49,1.00,RL
383,-100.00,49,1.00,RL
384,-100.00,49,1.00,RL
385,-100.00,49,1.00,RL
386,-100.00,49,1.00,RL
387,-100.00,49,1.00,RL
388,-100.00,49,1.00,RL
389,-100.00,49,1.00,RL
390,-100.00,49,1.00,RL
391,-100.00,49,1.00,RL
392,-100.00,49,1.00,RL
393,-100.00,49,1.00,RL
394,-100.00,49,1.00,RL
395,-100.00,49,1.00,RL
396,-100.00,49,1.00,RL
397,-100.00,49,1.00,RL
398,-100.00,49,1.00,RL
399,-100.00,49,1.00,RL
400,-100.00,49,1.00,RL
401,-100.00,49,1.00,RL
402,-100.00,49,1.00,RL
403,-100.00,49,1.00,RL
404,-100.00,49,1.00,RL
405,-100.00,49,1.00,RL
406,-100.00,49,1.00,RL
407,-100.00,49,1.00,RL
408,-100.00,49,1.00,RL
409,-100.00,49,1.00,RL
410,-100.00,49,1.00,RL
411,-100.00,49,1.00,RL
412,-100.00,49,1.00,RL
413,-100.00,49,1.00,RL
414,-100.00,49,1.00,RL
415,-100.00,49,1.00,RL
416,-100.00,49,1.00,RL
417,-100.00,49,1.00,RL
418,-100.00,49,1.00,RL
419,-100.00,49,1.00,RL
420,-100.00,49,1.00,RL
421,-100.00,49,1.00,RL
422,-100.00,49,1.00,RL
423,-100.00,49,1.00,RL
424,-100.00,49,1.00,RL
425,-100.00,49,1.00,RL
426,-100.00,49,1.00,RL
427,-100.00,49,1.00,RL
428,-100.00,49,1.00,RL
429,-100.00,49,1.00,RL
430,-100.00,49,1.00,RL
431,-100.00,49,1.00,RL
432,-100.00,49,1.00,RL
433,-100.00,49,1.00,RL
434,-100.00,49,1.00,RL
435,-100.00,49,1.00,RL
436,-100.00,49,1.00,RL
437,-100.00,49,1.00,RL
438,-100.00,49,1.00,RL
439,-100.00,49,1.00,RL
440,-100.00,49,1.00,RL
441,-100.00,49,1.00,RL
442,-100.00,49,1.00,RL
443,-100.00,49,1.00,RL
444,-100.00,49,1.00,RL
445,-100.00,49,1.00,RL
446,-100.00,49,1.00,RL
447,-100.00,49,1.00,RL
448,-100.00,49,1.00,RL
449,-100.00,49,1.00,RL
450,-100.00,49,1.00,RL
451,-100.00,49,1.00,RL
452,-100.00,49,1.00,RL
453,-100.00,49,1.00,RL
454,-100.00,49,1.00,RL
455,-100.00,49,1.00,RL
456,-100.00,49,1.00,RL
457,-100.00,49,1.00,RL
458,-100.00,49,1.00,RL
459,-100.00,49,1.00,RL
460,-100.00,49,1.00,RL
461,-100.00,49,1.00,RL
462,-100.00,49,1.00,RL
463,-100.00,49,1.00,RL
464,-100.00,49,1.00,RL
465,-100.00,49,1.00,RL
466,-100.00,49,1.00,RL
467,-100.00,49,1.00,RL
468,-100.00,49,1.00,RL
469,-100.00,49,1.00,RL
470,-100.00,49,1.00,RL
471,-100.00,49,1.00,RL
472,-100.00,49,1.00,RL
473,-100.00,49,1.00,RL
474,-100.00,49,1.00,RL
475,-100.00,49,1.00,RL
476,-100.00,49,1.00,RL
477,-100.00,49,1.00,RL
478,-100.00,49,1.00,RL
479,-100.00,49,1.00,RL
480,-100.00,49,1.00,RL
481,-100.00,49,1.00,RL
482,-100.00,49,1.00,RL
483,-100.00,49,1.00,RL
484,-100.00,49,1.00,RL
485,-100.00,49,1.00,RL
486,-100.00,49,1.00,RL
487,-100.00,49,1.00,RL
488,-100.00,49,1.00,RL
489,-100.00,49,1.00,RL
490,-100.00,49,1.00,RL
491,-100.00,49,1.00,RL
492,-100.00,49,1.00,RL
493,-100.00,49,1.00,RL
494,-100.00,49,1.00,RL
495,-100.00,49,1.00,RL
496,-100.00,49,1.00,RL
497,-100.00,49,1.00,RL
498,-100.00,49,1.00,RL
499,-100.00,49,1.00,RL
